,Gene,Median scores,pval,ecDNA dominance,- log10 pval
2,ACAP1,-0.0662585785,0.0090428433778497,neg,2.0436949910790387
583,TPRKB,-0.5480147825,0.0157375472307998,neg,1.803062953497587
474,RBMXL1,-0.836875665,0.0434654545698942,neg,1.3618557740817263
444,PRC1,-1.4305109255,0.0188646335991404,neg,1.7243516255235105
425,PDZK1IP1,-0.2432906014999999,0.0274430163080418,neg,1.5615681563054697
347,MCM10,-0.625965066,0.0374163111484171,neg,1.4269390315569306
333,LTO1,-1.716117299,0.0050921393028372,neg,2.2930997241020448
323,LARP4B,-0.148635243,0.0163663319268592,neg,1.7860486451102129
310,KDF1,-0.0538004065,0.0114265636920111,neg,1.9420843552543419
308,KDELR2,-0.1351910105,0.0444657425029832,neg,1.3519744513016274
593,TTC9,-0.003580136,0.0005138673015084,neg,3.2891490165360215
290,IGF2BP3,-0.047707712,0.0405779434254173,neg,1.39170996769267
246,GNB3,-0.0916344265,0.0281190043896366,neg,1.551000060456682
606,USP54,-0.105873538,0.0340621203202662,neg,1.4677283212961934
193,EPOP,-0.5107912775,0.035288539077754,neg,1.4523663207730169
169,DPAGT1,-1.4261236295000002,0.0291598777494031,neg,1.5352143010972363
158,DDX27,-1.13969435,0.0271103117395543,neg,1.5668654884693183
136,CSTF1,-0.885930916,0.0492106033443021,neg,1.3079413102860822
90,CDC25A,-0.342708352,0.0181521955217163,neg,1.7410708392063527
212,FAM219A,-0.148775974,0.0324837107332276,neg,1.4883343655480306
67,CCDC17,-0.1529410574999999,0.0071134779289913,neg,2.147918011638036
584,TPX2,-1.2944370975,0.042484242608558,pos,1.3717721197636497
8,AKNA,-0.0589121635,0.0108203619811545,pos,1.9657582102286772
528,SPC25,-1.7031504425,0.043963196699603,pos,1.3569107362093626
492,SARAF,-0.007186743,0.0115827474422733,pos,1.9361884131911995
479,RNF114,-0.040566655,0.0109691700819473,pos,1.9598262295324214
478,RILPL1,-0.215906078,0.0369822306507394,pos,1.4320068971224829
38,BLM,-0.3287226295,0.0043880925565094,pos,2.357724220578328
403,NRM,-0.124396497,0.0357056328209527,pos,1.4472632653979975
422,PDCD1,-0.0263690644999999,0.0251863008177618,pos,1.5988356138598039
100,CDK4,-0.6304737995,0.0211506737047361,pos,1.6746757946440476
314,KIF15,-0.0921563455,0.0108203619811545,pos,1.9657582102286772
144,CXCL17,-0.0041593005,0.0328723212274866,pos,1.4831696278108226
164,DIDO1,-0.4146738445,0.0050921393028372,pos,2.2930997241020448
291,IK,-1.5012322965,0.0415218303482411,pos,1.3817235103469694
258,HASPIN,-0.083081829,0.0191074877116693,pos,1.7187964110446203
56,C8orf58,-0.000994398,0.02951412593406,pos,1.5299700739584732
298,INTS10,-0.4754837444999999,0.0475838526206518,pos,1.3225403982770199
